Description#String code#English#French
All#%all#All#Tous
Language code (ISO 639-1)#%lang-code#en#fr
#%map-resolution#Resolution#Résolution
#%map-basemap#Add Basemap#Ajouter une carte de base
#%map-spatialref#Spatial Reference#Référence spatiale 
#%map-urlgeomserver#Geometry server URL #URL du serveur de géometrie 
#%map-urlproxy#Proxy URL #URL du proxy 
#%map-setextent#Set Extent#Définir l'étendue
#%map-extentmax#Maximum Extent#Étendue maximale
#%map-extentinit#Initial Extent#Étendue initiale
#%map-extentminx#Minimum X#Minimum X
#%map-extentminy#Minimum Y#Minimum Y
#%map-extentmaxx#Maximum X#Maximum X
#%map-extentmaxy#Maximum Y#Maximum Y
#%map-layertype#Select layer type#Selectionner le type de couverture 
#%map-layerurl#Enter URL#Entrer le URI 
#%map-layersuccess#Layer is valid!#La couverture est valide! 
#%map-layererror#Layer is not valid!#La couverture n'est pas valide!
#%map-scale#Scale#Échelle
#%map-addlayer#Add layer#Ajouter une couverture
#%map-lblcluster#Cluster#Regroupement
#%map-lblclusterenable#Enable Cluster#Activer le regroupement
#%map-lblclusterdist#Distance#Distance
#%map-lblclusterlabel#Label#Étiquette
#%map-lblclustersymbol#Use Layer Symbol#Utiliser le symbol de la couverture
#%map-lblclustersize#Maximum Symbol Size#Taille maximale du symbol
#%map-lblclusterdata#Maximum Cluster Size#Taille maximale du Regroupement
#%map-msgheight#Must between 400 and 2000#Doit être entre 400 et 2000
#%map-msgwidth#Must between 500 and 2000#Doit être entre 500 et 2000
#%map-sr#2294 - ATS77 / MTM Nova Scotia zone 4;2295 - ATS77 / MTM Nova Scotia zone 5;3395 - WGS84 / World Mercator;3400 - NAD83 / Alberta 10-TM (Forest);3401 - NAD83 / Alberta 10-TM (Resource);3857 - NRCan;3978 - NRCan;4269 - NAD83;4326 - WGS84 (World Geodesic Datum);26707 - NAD27 / UTM zone 7N;26708 - NAD27 / UTM zone 8N;26709 - NAD27 / UTM zone 9N;26710 - NAD27 / UTM zone 10N;26711 - NAD27 / UTM zone 11N;26712 - NAD27 / UTM zone 12N;26713 - NAD27 / UTM zone 13N;26714 - NAD27 / UTM zone 14N;26715 - NAD27 / UTM zone 15N;26716 - NAD27 / UTM zone 16N;26717 - NAD27 / UTM zone 17N;26718 - NAD27 / UTM zone 18N;26719 - NAD27 / UTM zone 19N;26720 - NAD27 / UTM zone 20N;26721 - NAD27 / UTM zone 21N26722 - NAD27 / UTM zone 22N;26907 - NAD83 / UTM zone 7N;26908 - NAD83 / UTM zone 8N;26909 - NAD83 / UTM zone 9N;26910 - NAD83 / UTM zone 10N;26911 - NAD83 / UTM zone 11N;26912 - NAD83 / UTM zone 12N;26913 - NAD83 / UTM zone 13N;26914 - NAD83 / UTM zone 14N;26915 - NAD83 / UTM zone 15N;26916 - NAD83 / UTM zone 16N;26917 - NAD83 / UTM zone 17N;26918 - NAD83 / UTM zone 18N;26919 - NAD83 / UTM zone 19N;26920 - NAD83 / UTM zone 20N;26921 - NAD83 / UTM zone 21N;26922 - NAD83 / UTM zone 22N;32181 - NAD83 / MTM zone 1;32182 - NAD83 / MTM zone 2;32183 - NAD83 / MTM zone 3;32184 - NAD83 / MTM zone 4;32185 - NAD83 / MTM zone 5;32186 - NAD83 / MTM zone 6;32187 - NAD83 / MTM zone 7;32188 - NAD83 / MTM zone 8;32189 - NAD83 / MTM zone 9;32190 - NAD83 / MTM zone 10;32191 - NAD83 / MTM zone 11;32192 - NAD83 / MTM zone 12;32193 - NAD83 / MTM zone 13;32194 - NAD83 / MTM zone 14;32195 - NAD83 / MTM zone 15;32196 - NAD83 / MTM zone 16;32197 - NAD83 / MTM zone 17;32198 - NAD83 / Quebec Lambert;41001 - WGS84 / Simple Mercator;42101 - LCC;42304 - LCC / Atlas of Canada;53016 - Sphere Gall Stereographic;54003 - World Miller Cylindrical;54004 - World Mercator;54008 - World Sinusoidal;54009 - World Mollweide;54016 - World Gall Stereographic;54030 - World Robinson;102008 - North America Albers Equal Area Conic;102009 - North America Lambert Conformal Conic;102016 - North Pole Azimuthal Equidistant;102017 - North Pole Lambert Azimuthal Equal Area;102018 - North Pole Stereographic;102184 - NAD83 / Alberta 10-TM (Forest) (ESRI);102185 - NAD83 / Alberta 10-TM (Resource) (ESRI);900913 - Google Spheric Mercator#2294 - ATS77 / MTM Nouvelle-écosse zone 4;2295 - ATS77 / MTM Nouvelle-écosse zone 5;3395 - WGS84 / Mondiale de Mercator;3400 - NAD83 / Alberta 10-TM (Forêt);3401 - NAD83 / Alberta 10-TM (Ressource);3857 - RNCan;3978 - RNCan;4269 - NAD83;4326 - WGS84 (World Geodesic Datum);26707 - NAD27 / UTM zone 7N;26708 - NAD27 / UTM zone 8N;26709 - NAD27 / UTM zone 9N;26710 - NAD27 / UTM zone 10N;26711 - NAD27 / UTM zone 11N;26712 - NAD27 / UTM zone 12N;26713 - NAD27 / UTM zone 13N;26714 - NAD27 / UTM zone 14N;26715 - NAD27 / UTM zone 15N;26716 - NAD27 / UTM zone 16N;26717 - NAD27 / UTM zone 17N;26718 - NAD27 / UTM zone 18N;26719 - NAD27 / UTM zone 19N;26720 - NAD27 / UTM zone 20N;26721 - NAD27 / UTM zone 21N;26722 - NAD27 / UTM zone 22N;26907 - NAD83 / UTM zone 7N;26908 - NAD83 / UTM zone 8N;26909 - NAD83 / UTM zone 9N;26910 - NAD83 / UTM zone 10N;26911 - NAD83 / UTM zone 11N;26912 - NAD83 / UTM zone 12N;26913 - NAD83 / UTM zone 13N;26914 - NAD83 / UTM zone 14N;26915 - NAD83 / UTM zone 15N;26916 - NAD83 / UTM zone 16N;26917 - NAD83 / UTM zone 17N;26918 - NAD83 / UTM zone 18N;26919 - NAD83 / UTM zone 19N;26920 - NAD83 / UTM zone 20N;26921 - NAD83 / UTM zone 21N;26922 - NAD83 / UTM zone 22N;32181 - NAD83 / MTM zone 1;32182 - NAD83 / MTM zone 2;32183 - NAD83 / MTM zone 3;32184 - NAD83 / MTM zone 4;32185 - NAD83 / MTM zone 5;32186 - NAD83 / MTM zone 6;32187 - NAD83 / MTM zone 7;32188 - NAD83 / MTM zone 8;32189 - NAD83 / MTM zone 9;32190 - NAD83 / MTM zone 10;32191 - NAD83 / MTM zone 11;32192 - NAD83 / MTM zone 12;32193 - NAD83 / MTM zone 13;32194 - NAD83 / MTM zone 14;32195 - NAD83 / MTM zone 15;32196 - NAD83 / MTM zone 16;32197 - NAD83 / MTM zone 17;32198 - NAD83 / Lambert Québec;41001 - WGS84 / Simple Mercator;42101 - LCC;42304 - LCC / Atlas du Canada;53016 - Gall stéréographique sphérique;54003 - cylindrique mondiale de Miller;54004 - mondiale de Mercator;54008 - sinusoïdale mondiale;54009 - mondiale de Mollweide;54016 - Gall stéréographique mondiale;54030 - mondiale de Robinson;102008 - projection nord-américaine d'Albers;102009 - conique conforme de Lambert nord-américaine;102016 - Équidistante azimutale polaire;102017 - azimutale Équivalente de Lambert polaire;102018 - polaire stéréographique;102184 - NAD83 / Alberta 10-TM (Forêt) (ESRI);102185 - NAD83 / Alberta 10-TM (Ressource) (ESRI);900913 - Google Mercator sphérique
#%header-mapname#Map Name #Nom de la carte
#%header-mapnamealt#Alternatif Map Name #Nom alternatif de la carte
#%header-lblbutton#Enable header button(s)#Activer les boutons de l'en-tête
#%header-tools#Tools #Outils 
#%header-about#About #A propos 
#%header-abouttype#About type#Type du a propos 
#%header-abouttypelist#Text;PDF#Texte;PDF
#%header-aboutvalue#About value#Valeur du a propos 
#%header-print#Print #Imprimer 
#%header-printtype#Print Type #Type d'impression
#%header-printtypelist#Simple;Advance#Simple;Avancé
#%header-inset#Show/Hide Inset #Afficher les insertions 
#%header-fullscreen#Fullscreen #Mode plein écran  
#%footer-arrow#North Arrow #Flèche du nord 
#%footer-arrowSR#Input Spatial Reference #Référence spatiale en entrée
#%footer-mouse#Mouse Coordinates #Coordonnées de la souris 
#%footer-mouseSR#Ouput Spatial Reference #Référence spatiale en sortie
#%draw-enable#Enable draw toolbar #Afficher la barre d'outil dessiner 
#%draw-line#Draw lines#Dessiner lignes
#%draw-text#Draw text#Dessiner du texte
#%draw-measure#Measure#Mesurer
#%draw-measuretype#Measure type#Type de mesure
#%draw-measuretypelist#length;area;full#longueur;surface;complet
#%draw-measureunit#Measure units#Unitées de mesure 
#%draw-measureunitlist#km;mile#km;mille 
#%draw-file#Import and export files#Importer et exporter des fichiers
#%nav-enable#Enable navigation toolbar#Afficher la barre d'outil navigation
#%nav-zoom#Zoom to full screen #Zoom à l'étendue maximale 
#%nav-geoloc#Zoom to geolocation#Zoom selon la géolocalisation 
#%nav-scalebar#Show scalebar #Afficher la barre d'échelle 
#%nav-scalebarunit#Scalebar units #Unitées de la barre d'échelle
#%nav-scalebarlist#km;mile#km;mille 
#%nav-scale#Show scale #Afficher l'échelle 
#%nav-scaleformat#Scale format #Format de l'échelle 
#%nav-scalelist#Standard#Standard
#%nav-over#Show overview map #Afficher la carte généralle 
#%nav-urlover#Enter URL#Entrer le URI 
#%legend-enable#Enable legend toolbar #Afficher la barre d'outil légende 
#%legend-expand#Open by default#Ouvrir par défault
#%legend-emptygrp#Emty Group#Groupe vide
#%legend-label#Label #Étiquette 
#%legend-metadata#Enable metadata #Activer les métadonnées  
#%legend-metaurl#URL #URI 
#%legend-metatext#Text #Texte 
#%legend-opacity#Enable opacity #Activer l'opacité 
#%legend-visibility#Enable visibility #Activer la visibilité 
#%legend-visibilitystate#Visible by default #Visible par défault 
#%legend-visibilitytype#Type #Type 
#%legend-visibilitytypelist#checkbox;radio#case;radio
#%legend-visibilityradioid#Radio group id #Id du groupe radio 
#%legend-displaychild#Show childrend #Afficher les enfants 
#%legend-displaychildsymbol#Symbology #Symbologie 
#%legend-customimage#Custom Image #Image personnalisée 
#%legend-customimageurl#URL #URI 
#%legend-customimagetext#Alt text #Texte alternatif 
#%legend-sectbases#Base Maps#Couvertures de base
#%legend-sectlayers#Layers#Couvertures
#%legend-titlereset#Reset Legend#Réinitialiser la légende
#%legend-txtreset#If you reset the legend, you will loose all your changes!#Si vous réinitialisez la légende, vous perdrez tout vos changement!
